id,city,time,content,clean_content,compound_content,ml_text,handler,status,url,label,priority
1,Hue,15:17 30/04/2026,"Lễ 30/04 ngày giải phóng miền Nam thống nhất đất nước nhưng cầu Trường Tiền không treo cờ tổ quốc.

Rất mong các cấp liên quan treo cờ tổ quốc vào các dịp lễ trọng đại của Đất nước",Lễ 30/04 ngày giải phóng miền Nam thống nhất đất nước nhưng cầu Trường Tiền không treo cờ tổ quốc. Rất mong các cấp liên quan treo cờ tổ quốc vào các dịp lễ trọng đại của Đất nước,Lễ 30 / 04 ngày giải_phóng miền Nam thống_nhất đất_nước nhưng cầu Trường_Tiền không treo cờ tổ_quốc . Rất mong các cấp liên_quan treo cờ tổ_quốc vào các dịp lễ trọng_đại của Đất_nước,lễ 30 / 04 ngày giải_phóng miền nam thống_nhất đất_nước nhưng cầu trường_tiền không treo cờ tổ_quốc . rất mong các cấp liên_quan treo cờ tổ_quốc vào các dịp lễ trọng_đại của đất_nước,"Kết quả xử lý
Sở Văn hóa và Thể thao
Kính gửi: Quý Ông/Bà.
Vấn đề quý Ông/Bà phản ánh, Sở Văn hoá và Thể thao thành phố Huế xin thông báo kết quả như sau:
Đối với các ngày lễ lớn của quê hương, đất nước, Sở Văn hoá và Thể thao tổ chức treo cờ thả tuyên truyền các khẩu hiệu trên các tuyến đường trung tâm, việc triển khai nhằm tạo không khí trang trọng, cổ động trực quan phục vụ các ngày lễ lớn, sự kiện chính trị quan trọng theo kế hoạch tuyên truyền đã được phê duyệt.
Đối với khu vực cầu Trường Tiền và cầu Phú Xuân, việc treo cờ chỉ được thực hiện vào các dịp lễ kỷ niệm năm tròn (năm chẵn) theo chủ trương nhằm bảo đảm tính trang nghiêm, đồng thời hạn chế ảnh hưởng đến cảnh quan kiến trúc, giao thông và kết cấu công trình. Ngoài các thời điểm này, Sở Văn hoá và Thể thao không tổ chức treo cờ tại hai cây cầu nêu trên.
Sở Văn hoá và Thể thao trân trọng ghi nhận ý kiến phản ánh của người dân và sẽ tiếp tục rà soát, điều chỉnh công tác tuyên truyền trực quan bảo đảm hiệu quả, phù hợp và đúng quy định trong thời gian tới.
Chân thành cảm ơn quý Ông/Bà.
Trân trọng./.
Hạn xử lý: 12/05/2026
Ngày xử lý: 02/05/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/kien-nghi-treo-co-to-quoc-vao-cac-dip-le-a222507.html,khac,thap
2,Hue,15:37 26/04/2026,"Kiến nghị xử lý sụt lún và nâng cấp đường tại Hẽm 8 kiệt 32 Thiên Thai, Phường Thuỷ Xuân, Thành phố Huế
Đường hẽm bị sụt lún và xuống cấp nghiêm trọng gây nguy hiểm cho người tham gia giao thông. Hai bên có mương thoát nước không được che đậy dẫn đến rác thải làm tắc nghẽn hệ thống thoát nước và nguy hiểm cho trẻ em.
Mong cơ quan đến kiểm tra và xử lý","Kiến nghị xử lý sụt lún và nâng cấp đường tại Hẽm 8 kiệt 32 Thiên Thai, Phường Thuỷ Xuân, Thành phố Huế Đường hẽm bị sụt lún và xuống cấp nghiêm trọng gây nguy hiểm cho người tham gia giao thông. Hai bên có mương thoát nước không được che đậy dẫn đến rác thải làm tắc nghẽn hệ thống thoát nước và nguy hiểm cho trẻ em. Mong cơ quan đến kiểm tra và xử lý","Kiến_nghị xử_lý sụt lún và nâng_cấp đường tại Hẽm 8 kiệt 32 Thiên_Thai , Phường_Thuỷ_Xuân , Thành_phố Huế_Đường hẽm bị sụt lún và xuống_cấp nghiêm_trọng gây nguy_hiểm cho người tham_gia giao_thông . Hai bên có mương thoát nước không được che_đậy dẫn đến rác_thải làm tắc_nghẽn hệ_thống thoát nước và nguy_hiểm cho trẻ_em . Mong cơ_quan đến kiểm_tra và xử_lý","kiến_nghị xử_lý sụt lún và nâng_cấp đường tại hẽm 8 kiệt 32 thiên_thai , phường_thuỷ_xuân , thành_phố huế_đường hẽm bị sụt lún và xuống_cấp nghiêm_trọng gây nguy_hiểm cho người tham_gia giao_thông . hai bên có mương thoát nước không được che_đậy dẫn đến rác_thải làm tắc_nghẽn hệ_thống thoát nước và nguy_hiểm cho trẻ_em . mong cơ_quan đến kiểm_tra và xử_lý","Kết quả xử lý
Phường Thủy Xuân
Kính gửi: Quý Ông/Bà.
Vấn đề quý Ông/Bà phản ánh, UBND phường Thuỷ Xuân đã chỉ đạo Trung tâm Dịch vụ sự nghiệp công phường Thuỷ Xuân kiểm tra và xin thông báo kết quả như sau:
Trung tâm Dịch vụ sự nghiệp công phường Thuỷ Xuân (Trung tâm) đã tiến hành kiểm tra thực tế Hẻm 8, kiệt 32 Thiên Thai trời mưa xói mòn đường, sụt lún và xuống cấp nghiêm trọng. Trung tâm đã có báo cáo phương án, đề xuất UBND phường có phương án sửa chữa đoạn đường này đảm bảo mùa mưa sắp đến.
Thời gian tới, UBND phường có chủ trương phê duyệt sẽ tiến hàng sửa chữa đường kiệt này đảm bảo người dân đi lại thuận tiện
Chân thành cảm ơn quý Ông/Bà.
Trân trọng./.
Hạn xử lý: 11/05/2026
Ngày xử lý: 04/05/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/kien-nghi-xu-ly-sut-lun-va-nang-cap-duong-tai-hem-8-kiet-32-thien-thai-a222099.html,duong_cau_ha_tang_hu_hong,cao
3,Hue,12:56 26/04/2026,"Nắp cống bị sụp lún ngay trường tiểu học Dạ Lê, 31 Nguyễn Văn Chư, phường Thanh Thủy, hơn một tháng nay chưa xứ lý, gây mất an toàn cho mọi người và các cháu học sinh. Kính mong cơ quan chức năng kiểm tra, xử lý.","Nắp cống bị sụp lún ngay trường tiểu học Dạ Lê, 31 Nguyễn Văn Chư, phường Thanh Thủy, hơn một tháng nay chưa xứ lý, gây mất an toàn cho mọi người và các cháu học sinh. Kính mong cơ quan chức năng kiểm tra, xử lý.","Nắp cống bị sụp lún ngay trường tiểu_học Dạ_Lê , 31 Nguyễn_Văn_Chư , phường Thanh_Thủy , hơn một tháng nay chưa xứ lý , gây mất an_toàn cho mọi người và các cháu học_sinh . Kính mong cơ_quan_chức_năng kiểm_tra , xử_lý .","nắp cống bị sụp lún ngay trường tiểu_học dạ_lê , 31 nguyễn_văn_chư , phường thanh_thủy , hơn một tháng nay chưa xứ lý , gây mất an_toàn cho mọi người và các cháu học_sinh . kính mong cơ_quan_chức_năng kiểm_tra , xử_lý .","Kết quả xử lý
Phường Thanh Thủy
Kính gửi: Quý Ông/Bà
Vấn đề quý Ông/Bà phản ánh, UBND phường Thanh Thủy xin thông báo kết quả như sau:
Sau khi nhận phản ánh, UBND phường đã chỉ đạo Trung tâm Dịch vụ sự nghiệp công giải quyết. Qua kiểm tra hiện trường, Trung tâm Dịch vụ sự nghiệp công đã đề nghị UBND phường Thanh Thủy bổ sung nắp cống. Hiện tại Trung tâm Dịch vụ sự nghiệp công đã cho đúc tấm đan, đang chờ đủ cường độ bê tông để lắp đặt thay thế.
Chân thành cảm ơn quý Ông/Bà.
Trân trọng./.
 Hạn xử lý: 11/05/2026
Ngày xử lý: 05/05/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/nap-cong-bi-sup-lun-ngay-truong-tieu-hoc-da-le-a222087.html,cong_ho_ga_thoat_nuoc,cao
4,Hue,18:57 25/04/2026,Đoạn hố ga đường Khúc Thừa Dụ nằm sát với kiệt 343 Nguyễn Tất Thành bị bể nắp hố ga gây nguy hiểm cho người tham gia giao thông. Đề nghị cơ quan chức năng xử lý.,Đoạn hố ga đường Khúc Thừa Dụ nằm sát với kiệt 343 Nguyễn Tất Thành bị bể nắp hố ga gây nguy hiểm cho người tham gia giao thông. Đề nghị cơ quan chức năng xử lý.,Đoạn hố_ga đường Khúc_Thừa_Dụ nằm sát với kiệt 343 Nguyễn_Tất_Thành bị bể nắp hố_ga gây nguy_hiểm cho người tham_gia giao_thông . Đề_nghị cơ_quan_chức_năng xử_lý .,đoạn hố_ga đường khúc_thừa_dụ nằm sát với kiệt 343 nguyễn_tất_thành bị bể nắp hố_ga gây nguy_hiểm cho người tham_gia giao_thông . đề_nghị cơ_quan_chức_năng xử_lý .,"Kết quả xử lý
Phường Thanh Thủy
Kính gửi: Quý Ông/Bà.
Vấn đề quý Ông/Bà phản ánh, UBND phường Thanh Thủy xin thông báo kết quả như sau:
Sau khi nhận phản ánh, UBND phường đã chỉ đạo Trung tâm Dịch vụ sự nghiệp công giải quyết. Qua kiểm tra hiện trường, Trung tâm Dịch vụ sự nghiệp công đã đề nghị UBND phường Thanh Thủy bổ sung nắp hố ga. Hiện tại đã đúc tấm đan, đang chờ đủ cường độ bê tông để lắp đặt thay thế.
Chân thành cảm ơn quý Ông/Bà.
Trân trọng./.
Hạn xử lý: 11/05/2026
Ngày xử lý: 05/05/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/kien-nghi-sua-chua-nap-ho-ga-tai-duong-khuc-thua-du-a222032.html,cong_ho_ga_thoat_nuoc,cao
5,Hue,18:00 24/04/2026,"Bảng tên kiệt 35 Thanh Hải, phường Thủy Xuân nằm quá thấp và che phủ bởi lá cây. Kính mong cơ quan chức năng xử lý. Xin cảm ơn.","Bảng tên kiệt 35 Thanh Hải, phường Thủy Xuân nằm quá thấp và che phủ bởi lá cây. Kính mong cơ quan chức năng xử lý. Xin cảm ơn.","Bảng tên kiệt 35 Thanh_Hải , phường Thủy_Xuân nằm quá thấp và che_phủ bởi lá cây . Kính mong cơ_quan_chức_năng xử_lý . Xin cảm_ơn .","bảng tên kiệt 35 thanh_hải , phường thủy_xuân nằm quá thấp và che_phủ bởi lá cây . kính mong cơ_quan_chức_năng xử_lý . xin cảm_ơn .","Kết quả xử lý
Phường Thủy Xuân
Kính gửi: Quý Ông/Bà.
Vấn đề Quý Ông/Bà phản ánh, UBND phường Thủy Xuân xin thông báo kết quả như sau:
UBND phường đã chỉ đạo Trung tâm Dịch vụ sự nghiệp công phường Thủy Xuân tiến hành kiểm tra thực tế tại khu vực kiệt 35 Thanh Hải. Qua kiểm tra, nguyên nhân là do cây cối phát triển che khuất bảng tên kiệt; đồng thời, biển tên kiệt này do người dân tự lắp đặt trước đây. Trung tâm đã huy động người dân tiến hành phát quang bụi cây, đảm bảo thông thoáng và nhận diện lối kiệt (có hình ảnh kèm theo).
Trong thời gian tới, Trung tâm sẽ tiếp tục rà soát và kiến nghị lắp đặt lại biển tên kiệt nhằm đảm bảo mỹ quan và thuận tiện cho việc nhận diện.
Chân thành cảm ơn Quý Ông/Bà.
Trân trọng./.
1/2
12
Hạn xử lý: 08/05/2026
Ngày xử lý: 05/05/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/kien-nghi-kiem-tra-bang-ten-kiet-35-thanh-hai-a221937.html,bien_bao,thap
6,Hue,18:47 23/04/2026,"Tại Nghênh Lương Đình, 491 Lê Duẩn, phường Phú Xuân, Huế. Vào lúc 18h47 ngày 23/04/2026 thiếu gạch đi bị vấp nguy hiểm cho khách du lịch và người dân.","Tại Nghênh Lương Đình, 491 Lê Duẩn, phường Phú Xuân, Huế. Vào lúc 18h47 ngày 23/04/2026 thiếu gạch đi bị vấp nguy hiểm cho khách du lịch và người dân.","Tại_Nghênh_Lương_Đình , 491 Lê_Duẩn , phường Phú_Xuân , Huế . Vào lúc 18h47 ngày 23 / 04 / 2026 thiếu gạch đi bị vấp nguy_hiểm cho khách du_lịch và người dân .","tại_nghênh_lương_đình , 491 lê_duẩn , phường phú_xuân , huế . vào lúc 18h47 ngày 23 / 04 / 2026 thiếu gạch đi bị vấp nguy_hiểm cho khách du_lịch và người dân .","Kết quả xử lý
Trung tâm Bảo tồn di tích Cố đô Huế
Kính gửi: Quý Ông/Bà.
Vấn đề quý Ông/Bà phản ánh, Trung tâm Bảo tồn Di tích Cố đô Huế (Trung tâm) xin thông báo kết quả như sau:
Hiện nay, Trung tâm đã chỉ đạo các đơn vị liên quan sẽ tiến hành kiểm tra, xử lý và khắc phục nhằm đảm bảo an toàn cho người dân và du khách.
Chân thành cảm ơn quý Ông/Bà.
Trân trọng./.
Hạn xử lý: 08/05/2026
Ngày xử lý: 06/05/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/kien-nghi-lap-lai-gach-nen-tai-491-le-duan-a221851.html,duong_cau_ha_tang_hu_hong,cao
7,Hue,16:25 23/04/2026,"Tại vị trí kiệt 137 đường Trường Chinh, phường An Cựu, hiện đang tồn tại hai bảng tên kiệt (một bảng cũ và một bảng mới) được lắp đặt sát nhau. Bảng tên cũ vẫn còn nguyên vẹn, rõ ràng và hoàn toàn có thể tiếp tục sử dụng. Việc lắp thêm bảng mới ngay cạnh gây dư thừa, lãng phí ngân sách và ảnh hưởng mỹ quan đô thị. Rất lãng phí khi đặt 2 bảng tên mới và cũ song song sát nhau, trong khi nhiều tuyến đường kiệt khác vẫn còn chưa có bảng tên kiệt. Cuối kiệt 137 Trường Chinh có thể thông ra kiệt 177 Trường Chinh, thiết nghĩ nên di dời 1 trong 2 bảng tên đó xuống đặt tại điểm giao nói trên để người dân đi từ hướng kiệt 177 muốn rẽ vào kiệt 137 dễ dàng nhận biết hơn. Xin cảm ơn.","Tại vị trí kiệt 137 đường Trường Chinh, phường An Cựu, hiện đang tồn tại hai bảng tên kiệt (một bảng cũ và một bảng mới) được lắp đặt sát nhau. Bảng tên cũ vẫn còn nguyên vẹn, rõ ràng và hoàn toàn có thể tiếp tục sử dụng. Việc lắp thêm bảng mới ngay cạnh gây dư thừa, lãng phí ngân sách và ảnh hưởng mỹ quan đô thị. Rất lãng phí khi đặt 2 bảng tên mới và cũ song song sát nhau, trong khi nhiều tuyến đường kiệt khác vẫn còn chưa có bảng tên kiệt. Cuối kiệt 137 Trường Chinh có thể thông ra kiệt 177 Trường Chinh, thiết nghĩ nên di dời 1 trong 2 bảng tên đó xuống đặt tại điểm giao nói trên để người dân đi từ hướng kiệt 177 muốn rẽ vào kiệt 137 dễ dàng nhận biết hơn. Xin cảm ơn.","Tại vị_trí kiệt 137 đường_Trường_Chinh , phường An_Cựu , hiện đang tồn_tại hai bảng tên kiệt ( một bảng cũ và một bảng mới ) được lắp_đặt sát nhau . Bảng tên cũ vẫn còn nguyên_vẹn , rõ_ràng và hoàn_toàn có_thể tiếp_tục sử_dụng . Việc lắp thêm bảng mới ngay cạnh gây dư_thừa , lãng_phí ngân_sách và ảnh_hưởng mỹ_quan đô_thị . Rất lãng_phí khi đặt 2 bảng tên mới và cũ song_song sát nhau , trong khi nhiều tuyến đường kiệt khác vẫn còn chưa có bảng tên kiệt . Cuối kiệt 137 Trường_Chinh có_thể thông ra kiệt 177 Trường_Chinh , thiết_nghĩ nên di_dời 1 trong 2 bảng tên đó xuống đặt tại điểm giao nói trên để người dân đi từ hướng kiệt 177 muốn rẽ vào kiệt 137 dễ_dàng nhận_biết hơn . Xin cảm_ơn .","tại vị_trí kiệt 137 đường_trường_chinh , phường an_cựu , hiện đang tồn_tại hai bảng tên kiệt ( một bảng cũ và một bảng mới ) được lắp_đặt sát nhau . bảng tên cũ vẫn còn nguyên_vẹn , rõ_ràng và hoàn_toàn có_thể tiếp_tục sử_dụng . việc lắp thêm bảng mới ngay cạnh gây dư_thừa , lãng_phí ngân_sách và ảnh_hưởng mỹ_quan đô_thị . rất lãng_phí khi đặt 2 bảng tên mới và cũ song_song sát nhau , trong khi nhiều tuyến đường kiệt khác vẫn còn chưa có bảng tên kiệt . cuối kiệt 137 trường_chinh có_thể thông ra kiệt 177 trường_chinh , thiết_nghĩ nên di_dời 1 trong 2 bảng tên đó xuống đặt tại điểm giao nói trên để người dân đi từ hướng kiệt 177 muốn rẽ vào kiệt 137 dễ_dàng nhận_biết hơn . xin cảm_ơn .","Kết quả xử lý
Phường An Cựu
Kính gửi: Quý Ông/Bà.
Vấn đề quý Ông/Bà phản ánh, UBND phường An Cựu xin thông báo kết quả như sau:
UBND phường kiểm tra thực tế phản ánh. Qua kiểm tra, UBND phường đã làm việc với đơn vị thi công, yêu cầu đơn vị thi công thu hồi bảng tên đường kiệt cũ.
Việc lắp đặt các bảng tên đường kiệt mới thay cho các bảng tên đường kiệt cũ nhằm mang tính thống nhất chung cho tất các tuyến đường kiệt trên địa bàn toàn phường, tạo thuận lợi cho đời sống của bà con nhân dân trên địa bàn.
Chân thành cảm ơn quý Ông/Bà.
Trân trọng./.
1/2
12
Hạn xử lý: 07/05/2026
Ngày xử lý: 27/04/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/kien-nghi-di-doi-bang-ten-duong-tai-kiet-137-duong-truong-chinh-a221827.html,bien_bao,thap
8,Hue,10:39 23/04/2026,"Tuyến đường liên thôn từ cổng chào thôn An Cư Đông 2, xã Chân Mây - Lăng Cô đến trước đình làng An Cư Đông đã nâng cấp sửa chữa nhưng còn hơn 10 hố ga lớn nhỏ vẫn nằm giữa đường. Chiếm hết diện tích của đường.
Rất nguy hiểm cho người và phương tiện qua lại!
Đã có nhiều trường hợp rơi xuống hố ga gây thương tích và hư hỏng phương tiện.
Đề nghị các cơ quan chức năng có hương hỗ trợ trả lại mặt bằng cho người dân đi lại!","Tuyến đường liên thôn từ cổng chào thôn An Cư Đông 2, xã Chân Mây - Lăng Cô đến trước đình làng An Cư Đông đã nâng cấp sửa chữa nhưng còn hơn 10 hố ga lớn nhỏ vẫn nằm giữa đường. Chiếm hết diện tích của đường. Rất nguy hiểm cho người và phương tiện qua lại Đã có nhiều trường hợp rơi xuống hố ga gây thương tích và hư hỏng phương tiện. Đề nghị các cơ quan chức năng có hương hỗ trợ trả lại mặt bằng cho người dân đi lại","Tuyến_đường liên thôn từ cổng_chào thôn An_Cư_Đông 2 , xã Chân_Mây - Lăng_Cô_đến trước đình làng An_Cư_Đông_đã nâng_cấp sửa_chữa nhưng còn hơn 10 hố_ga lớn nhỏ vẫn nằm giữa đường . Chiếm hết diện_tích của đường . Rất nguy_hiểm cho người và phương_tiện qua_lại Đã có nhiều trường_hợp rơi xuống hố_ga gây thương_tích và hư_hỏng phương_tiện . Đề_nghị các cơ_quan_chức_năng có hương hỗ_trợ trả lại mặt_bằng cho người dân đi_lại","tuyến_đường liên thôn từ cổng_chào thôn an_cư_đông 2 , xã chân_mây - lăng_cô_đến trước đình làng an_cư_đông_đã nâng_cấp sửa_chữa nhưng còn hơn 10 hố_ga lớn nhỏ vẫn nằm giữa đường . chiếm hết diện_tích của đường . rất nguy_hiểm cho người và phương_tiện qua_lại đã có nhiều trường_hợp rơi xuống hố_ga gây thương_tích và hư_hỏng phương_tiện . đề_nghị các cơ_quan_chức_năng có hương hỗ_trợ trả lại mặt_bằng cho người dân đi_lại","Kết quả xử lý
Xã Chân Mây - Lăng Cô
Kính gửi: Quý Ông/Bà.
Vấn đề quý Ông/Bà phản ánh, UBND xã Chân Mây - Lăng Cô đã chỉ đạo Phòng Kinh tế, hạ tầng và Đô thị xã Chân Mây - Lăng Cô kiểm tra và xin thông báo kết quả như sau:
Vừa qua, Phòng Kinh tế, hạ tầng và Đô thị xã Chân Mây - Lăng Cô đã chỉ đạo đơn vị thi công sử dụng bao cát để lấp đầy các miệng hố ga nhằm đảm bảo an toàn tạm thời; đối với các tấm đan nắp hố ga, đã tiến hành gia công thép V bảo vệ viền và đã đổ bê tông, đang chờ đạt cường độ để lắp đặt theo đúng thời gian. Dự kiến tiến hành lắp đặt các tấm đan từ ngày 05 - 10/5/2026.
Chân thành cảm ơn quý Ông/Bà.
Trân trọng./.
Hạn xử lý: 07/05/2026
Ngày xử lý: 28/04/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/day-nhanh-thi-cong-duong-thon-an-cu-dong-2-a221792.html,cong_ho_ga_thoat_nuoc,cao
9,Hue,20:24 22/04/2026,"Hiện sông An Hoà đang thi công làm bờ kè, xin hỏi cầu tránh An Hoà có được sửa chữa nâng cấp gì không. Đây là cây cầu phục vụ lượng lớn người dân lưu thông qua lại, gần trường, gần bệnh viện, gần chợ. Thường kẹt xe trong các khung giờ cao điểm. Đúng ra, đây là cây cầu nên được xây mới để phục vụ nhân dân vì nằm trong tuyến đường hay lưu thông, mở rộng cũng giúp thuận cho du lịch tham quan kinh thành Huế không phải chạy đường vòng. Tuy thành phố Huế lên Trung ương nhưng cơ sở hạ tầng không thấy thay đổi tương xứng hoặc không đúng chỗ dân cần.","Hiện sông An Hoà đang thi công làm bờ kè, xin hỏi cầu tránh An Hoà có được sửa chữa nâng cấp gì không. Đây là cây cầu phục vụ lượng lớn người dân lưu thông qua lại, gần trường, gần bệnh viện, gần chợ. Thường kẹt xe trong các khung giờ cao điểm. Đúng ra, đây là cây cầu nên được xây mới để phục vụ nhân dân vì nằm trong tuyến đường hay lưu thông, mở rộng cũng giúp thuận cho du lịch tham quan kinh thành Huế không phải chạy đường vòng. Tuy thành phố Huế lên Trung ương nhưng cơ sở hạ tầng không thấy thay đổi tương xứng hoặc không đúng chỗ dân cần.","Hiện sông An_Hoà_đang thi_công làm bờ kè , xin hỏi cầu tránh An_Hoà có được sửa_chữa nâng_cấp gì không . Đây là cây cầu phục_vụ lượng lớn người dân lưu_thông_qua_lại , gần trường , gần bệnh_viện , gần chợ . Thường kẹt xe trong các khung giờ cao_điểm . Đúng_ra , đây là cây cầu nên được xây mới để phục_vụ nhân_dân vì nằm trong tuyến đường hay lưu_thông , mở_rộng cũng giúp thuận cho du_lịch tham_quan kinh_thành Huế không phải chạy đường vòng . Tuy thành_phố Huế lên Trung_ương nhưng cơ_sở hạ_tầng không thấy thay_đổi tương_xứng hoặc không đúng chỗ dân cần .","hiện sông an_hoà_đang thi_công làm bờ kè , xin hỏi cầu tránh an_hoà có được sửa_chữa nâng_cấp gì không . đây là cây cầu phục_vụ lượng lớn người dân lưu_thông_qua_lại , gần trường , gần bệnh_viện , gần chợ . thường kẹt xe trong các khung giờ cao_điểm . đúng_ra , đây là cây cầu nên được xây mới để phục_vụ nhân_dân vì nằm trong tuyến đường hay lưu_thông , mở_rộng cũng giúp thuận cho du_lịch tham_quan kinh_thành huế không phải chạy đường vòng . tuy thành_phố huế lên trung_ương nhưng cơ_sở hạ_tầng không thấy thay_đổi tương_xứng hoặc không đúng chỗ dân cần .","Kết quả xử lý
Ban Quản lý dự án đầu tư xây dựng công trình giao thông thành phố Huế
Kính gửi: Quý Ông/Bà.
Vấn đề quý Ông/Bà phản ánh, Ban Quản lý dự án Đầu tư xây dựng công trình giao thông thành phố Huế xin thông báo như sau:
Dự án Cầu An Hòa đã được UBND Thành phố Huế phê duyệt chủ trương đầu tư tại Quyết định số 4003/QĐ-UBND ngày 29/12/2025. Hiện nay UBND Thành phố đang xem xét để bố trí vốn thực hiện các giai đoạn tiếp theo. Khi được bố trí vốn, Ban QLDA Đầu tư xây dựng công trình giao thông sẽ tổ chức thi tuyển phương án kiến trúc và hoàn thành Báo cáo nghiên cứu khả thi, trình cấp có thẩm quyền quyết định đầu tư dự án.
Chân thành cảm ơn quý Ông/Bà.
Trân trọng./.
Hạn xử lý: 05/05/2026
Ngày xử lý: 21/04/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/kien-nghi-nang-cap-cau-an-hoa-a221746.html,to_chuc_giao_thong,thap
10,Hue,09:59 22/04/2026,"Thời gian gần đây đèn tín hiệu giao thông ở ngã tư giao giữa quốc lộ 1A và đường Hoàng Trung, phường Hương Trà không hoạt động vào sáng sớm (như hôm nay 6h45 vẫn không hoạt động). Với giờ giấc đi học đi làm của người dân và lượng xe lưu thông trên quốc lộ là rất lớn thì việc đèn giao thông không hoạt động đã gây khó khăn và có thể gây nguy hiểm cho người tham gia giao thông. Kính mong các cơ quan chức năng sớm khắc phục vấn đề này.","Thời gian gần đây đèn tín hiệu giao thông ở ngã tư giao giữa quốc lộ 1A và đường Hoàng Trung, phường Hương Trà không hoạt động vào sáng sớm (như hôm nay 6h45 vẫn không hoạt động). Với giờ giấc đi học đi làm của người dân và lượng xe lưu thông trên quốc lộ là rất lớn thì việc đèn giao thông không hoạt động đã gây khó khăn và có thể gây nguy hiểm cho người tham gia giao thông. Kính mong các cơ quan chức năng sớm khắc phục vấn đề này.","Thời_gian gần đây_đèn tín_hiệu giao_thông ở ngã tư giao giữa quốc_lộ 1A và đường Hoàng_Trung , phường Hương_Trà không hoạt_động vào sáng sớm ( như hôm_nay 6h45 vẫn không hoạt_động ) . Với giờ_giấc đi học đi làm của người dân và lượng xe lưu_thông trên quốc_lộ là rất lớn thì việc đèn giao_thông không hoạt động_đã gây khó_khăn và có_thể gây nguy_hiểm cho người tham_gia giao_thông . Kính mong các cơ_quan_chức_năng sớm khắc_phục vấn_đề này .","thời_gian gần đây_đèn tín_hiệu giao_thông ở ngã tư giao giữa quốc_lộ 1a và đường hoàng_trung , phường hương_trà không hoạt_động vào sáng sớm ( như hôm_nay 6h45 vẫn không hoạt_động ) . với giờ_giấc đi học đi làm của người dân và lượng xe lưu_thông trên quốc_lộ là rất lớn thì việc đèn giao_thông không hoạt động_đã gây khó_khăn và có_thể gây nguy_hiểm cho người tham_gia giao_thông . kính mong các cơ_quan_chức_năng sớm khắc_phục vấn_đề này .","Kết quả xử lý
Trung tâm Quản lý và Khai thác hạ tầng thành phố Huế
Kính gửi: Quý Ông/Bà.
Vấn đề quý Ông/Bà phản ánh, Trung tâm Quản lý và Khai thác Hạ tầng thành phố Huế xin thông báo kết quả như sau:
Sau khi nhận được phản ánh, Trung tâm đã tiến hành kiểm tra và sửa chữa. Đến nay, công tác sửa chữa, khắc phục đã hoàn thành. (Đính kèm hình ảnh)
Chân thành cảm ơn quý Ông/Bà.
Trân trọng./.
1/2
12
Hạn xử lý: 06/05/2026
Ngày xử lý: 24/04/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/den-tin-hieu-giao-thong-o-nga-tu-giao-giua-quoc-lo-1a-va-duong-hoang-trung-khong-hoat-dong-a221671.html,den_tin_hieu,cao
